Server,Backup Job,Platform,Schedule,Backup Start Sequence,Backup Start Time,Storage,Media Set,Expiration ,Encryption,Compression,Priority,Backup Selection
wnet-damsql02,wnet-damsql02 Backup,Windows,Daily Incremental,Daily,8:00pm,WWP Robotic Library New [41..80],Dalet,4 weeks,Software,Hardware,Medium,"C:\*.*, System State\*"
wnet-damsql02,wnet-damsql02 Backup,Windows,Monthly Full,Last Saturday,8:00pm,WWP Robotic Library New [1..40],Month Ends,Infinite,Software,Hardware,Medium,"C:\*.*, System State\*"
wnet-dw,wnet-dw_Full to tape,Linux,Weekly Full,"Tuesday, Wednesday, Thursday, Friday, Saturday",4:00am,WWP Robotic Library New [41..80],Team Approach,4 weeks,Software,Hardware,Highest,\[ROOT]\*.*
wnet-dw,wnet-dw_Full to tape,Linux,Monthly Full,Last Saturday,4:00am,WWP Robotic Library New [1..40],Month Ends,Infinite,Software,Hardware,Highest,\[ROOT]\*.*
wnet-dw2,WNET-DW2 Backup,Linux,Weekly Full,"Tuesday, Wednesday, Thursday, Friday, Saturday",4:00am,WWP Robotic Library New [41..80],Team Approach,4 weeks,Software,Hardware,Medium,"\[ROOT]\*.*, (/u10/oradata) (/u11/oradata) (/u12/oradata) (/u13/oradata) (/u14/oradata) "
wnet-dw2,WNET-DW2 Backup,Linux,Monthly Full,Last Saturday,4:00am,WWP Robotic Library New [1..40],Month Ends,Infinite,Software,Hardware,Medium,"\[ROOT]\*.*, (/u10/oradata) (/u11/oradata) (/u12/oradata) (/u13/oradata) (/u14/oradata) "
wnet-facs,WNET-FACS Weekly,Windows,Weekly Full,Friday,11:00pm,WWP Robotic Library New [41..80],Keep Data for 4 weeks,4 weeks,Software,Hardware,Medium,"C:\*.*, E:\*.*, F:\*.*, System State\*, Utility Partition"
wnet-facs,WNET-FACS Weekly,Windows,Daily Incremental,Daily,11:00pm,WWP Robotic Library New [41..80],Keep Data for 4 weeks,4 weeks,Hardware,Hardware,Medium,"C:\*.*, E:\*.*, F:\*.*, System State\*, Utility Partition"
wnet-trans15,WNET-TRANS15,Windows,Weekly Full,Sunday,9:00pm,Any tape cartridge storage,Keep Data for 4 weeks,4 weeks,Software,Hardware,,"C:\*.*, System State\*, EFI System Partition"
wnet-trans15,WNET-TRANS15,Windows,Daily Incremental,Daily,9:00pm,Any tape cartridge storage,Keep Data for 4 weeks,4 weeks,Software,Hardware,,"C:\*.*, System State\*, EFI System Partition"
wnet-trans15,WNET-TRANS15,Windows,Monthly Full,Last Sunday,9:00pm,Any tape cartridge storage,Month Ends,Infinite,Software,Hardware,,"C:\*.*, System State\*, EFI System Partition"
wnet-vranger2,,Windows,Weekly Full,Friday,4:00pm,Any tape cartridge storage,Keep Data for 4 weeks,4 weeks,Software,Hardware,,MS SQL Server Instances\VRANGEPRO
wnet-vranger2,,Windows,Daily Incremental,Daily,5:00pm,Any tape cartridge storage,Keep Data for 4 weeks,4 weeks,Software,Hardware,,"MS SQL Server Instances\VRANGEPRO, Log"
wnet-vranger2,,Windows,Daily Incremental,Daily,4:00pm,Any tape cartridge storage,Keep Data for 4 weeks,4 weeks,Software,Hardware,,MS SQL Server Instances\VRANGEPRO
wnet-vray2,,Windows,Daily Full,Daily,10:00pm,Any tape cartridge storage,Keep Data for 4 weeks,4 weeks,,,,MS SQL Server Instances\BKUPEXEC
